"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ComponentToPrint.jsx", "JavaScript JSX", 0, 0, 143, 0, 0, 0, 2, 16, 161
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ComponentToPrintConstancia.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 2, 19, 86
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ComponentToPrintRecipe.jsx", "JavaScript JSX", 0, 0, 156, 0, 0, 0, 13, 11, 180
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\CuadreDiarioTable.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 5, 9, 167
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\DocFooter.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ExcelExport.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\FacturacionTable.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 10, 93
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\FooterFirma.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\GlobalFilter.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\GroupingCuadreTableV2.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 5, 6, 158
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\GroupingProductosTable.jsx", "JavaScript JSX", 0, 0, 167, 0, 0, 0, 5, 9, 181
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\GroupingReventasTable.jsx", "JavaScript JSX", 0, 0, 174, 0, 0, 0, 5, 9, 188
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\IterarPago.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\LabConceptSelector.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 7, 58
