"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\controlReducers.js", "JavaScript", 193, 0, 13, 206
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\doctorReducers.js", "JavaScript", 89, 0, 5, 94
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\gastoReducers.js", "JavaScript", 96, 0, 6, 102
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\pacienteReducers.js", "JavaScript", 143, 0, 9, 152
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\productReducers.js", "JavaScript", 196, 0, 10, 206
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\servicioReducers.js", "JavaScript", 161, 0, 10, 171
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reducers\userReducers.js", "JavaScript", 149, 0, 4, 153
"Total", "-", 1027, 0, 57, 1084
